feature,importance
X_gravity,0.10787341697944558
X_mag_0,0.10214988168123552
X_coords_0,0.09878510752716006
X_gravity_grad,0.09835430191563865
X_coords_1,0.09226903508235024
X_mag_2,0.09153089998952758
X_mag_1,0.08382332069957286
X_geo_0,0.06229973158682965
X_geo_4,0.03007704955530184
X_geo_7,0.029397425145095833
X_geo_9,0.028647562636484596
X_geo_8,0.02657946011336455
X_geo_10,0.02638551586507526
X_geo_3,0.015196491520579116
X_geo_14,0.014605410386895917
X_geo_6,0.01308915630931983
X_geo_11,0.009289262223300782
X_geo_13,0.00756731777290369
X_geo_1,0.006771864607897252
X_geochem_2,0.005787068359231883
X_geo_15,0.005690940178612957
X_geochem_1,0.005525688095159572
X_geo_5,0.00519304896048687
X_geochem_7,0.005060913050849417
X_geochem_5,0.004570273175768069
X_geochem_3,0.004444537417696173
X_geochem_0,0.004183517948075976
X_geo_12,0.004030856149561712
X_geochem_6,0.003966006158101214
X_geochem_4,0.0035737978263858305
X_geo_2,0.003281141082091333
X_geo_16,0.0
X_geo_17,0.0
