feature,importance
X_gravity,0.10393723074414542
X_coords_0,0.10212631643119938
X_gravity_grad,0.09774066475233764
X_mag_2,0.09551424037180514
X_mag_0,0.09496291248318052
X_mag_1,0.08945119499484834
X_coords_1,0.08747516842125622
X_geo_0,0.06445897171993857
X_geo_10,0.0325206619072314
X_geo_9,0.028817451128508052
X_geo_4,0.02874075400492244
X_geo_8,0.028507267997455208
X_geo_7,0.02541298858853606
X_geo_3,0.016510668474835847
X_geo_6,0.01508580872612141
X_geo_14,0.012277936884889797
X_geo_11,0.00695976116643262
X_geo_1,0.006933848402572283
X_geo_13,0.006426997557674206
X_geochem_3,0.00595184577612686
X_geo_5,0.005293445004366709
X_geo_12,0.005260383927222346
X_geochem_1,0.004985983279970097
X_geochem_2,0.004807345394623796
X_geo_15,0.0047755343987831095
X_geochem_5,0.0046309805969507074
X_geochem_6,0.004472149142586543
X_geochem_4,0.0042657067683528295
X_geo_2,0.004011745831834461
X_geochem_7,0.003923182197196383
X_geochem_0,0.0037608529240957494
X_geo_16,0.0
X_geo_17,0.0
