feature,importance
X_coords_0,0.2006114776037456
X_gravity,0.1994925751130693
X_coords_1,0.12813376558328585
X_gravity_grad,0.09946842953568266
X_mag_2,0.04359445748327683
X_mag_1,0.039878287339452
X_geo_10,0.03617685931931864
X_mag_0,0.03559062710374289
X_geo_15,0.03353249722204302
X_geo_11,0.0287586209440878
X_geo_8,0.026355353244886963
X_geo_0,0.024415925164709563
X_geo_4,0.01804126193768709
X_geo_9,0.013655683863718331
X_geo_7,0.009393051446966696
X_geo_13,0.009266298282019149
X_geo_3,0.008674474918179716
X_geochem_1,0.007828764561558935
X_geochem_3,0.007041489948361302
X_geochem_2,0.005929548565669197
X_geo_1,0.0051673301172948
X_geochem_7,0.004426102265219275
X_geochem_0,0.00397949037229584
X_geochem_6,0.0035714275717662926
X_geochem_5,0.0029774460555810622
X_geochem_4,0.0013722316601175975
X_geo_6,0.0011445786703488552
X_geo_2,0.0009195166591222154
X_geo_14,0.0006024274467925654
X_geo_5,3.6396899715671956e-17
X_geo_12,0.0
X_geo_16,0.0
X_geo_17,0.0
