rank,mineral,lon,lat,rf_prob,bayes_mean,bayes_std
1,crit,-90.09935509167892,37.77060301869709,0.3965494469209179,,
2,crit,-90.0493550916789,36.97060301869713,0.3965494469209179,,
3,crit,-90.14935509167888,36.92060301869713,0.3965494469209179,,
4,crit,-90.0493550916789,36.770603018697145,0.3965494469209179,,
5,crit,-90.2493550916789,37.62060301869709,0.3965494469209179,,
6,crit,-90.14935509167888,37.52060301869711,0.3965494469209179,,
7,crit,-89.44935509167892,37.17060301869712,0.3965494469209179,,
8,crit,-89.9993550916789,36.770603018697145,0.3965494469209179,,
9,crit,-90.2493550916789,37.72060301869709,0.3965494469209179,,
10,crit,-90.1993550916789,36.92060301869713,0.3965494469209179,,
