rank,mineral,lon,lat,rf_prob,bayes_mean,bayes_std
1,co,-90.4493550916789,37.470603018697105,0.16574229113558542,,
2,co,-92.04935509167879,37.87060301869708,0.16574229113558542,,
3,co,-92.04935509167879,37.17060301869712,0.16574229113558542,,
4,co,-92.0993550916788,38.37060301869706,0.16574229113558542,,
5,co,-89.9993550916789,37.77060301869709,0.16574229113558542,,
6,co,-90.4493550916789,37.5706030186971,0.16574229113558542,,
7,co,-92.0993550916788,37.820603018697085,0.16574229113558542,,
8,co,-92.0993550916788,37.87060301869708,0.16574229113558542,,
9,co,-92.0993550916788,37.120603018697125,0.16574229113558542,,
10,co,-90.84935509167887,38.12060301869706,0.16574229113558542,,
